epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2066.15,1.32586,1.28278,0.90605,0.58694,0.67329,0.6528,0.45119,1.11574,1.17761,0.87651,0.000273899,0.000273899,0.000273899
43,2115.03,1.35244,1.29059,0.91061,0.53723,0.69151,0.64256,0.43474,1.13117,1.195,0.87915,0.000267019,0.000267019,0.000267019
44,2163.23,1.29797,1.25529,0.90356,0.58987,0.67705,0.66403,0.45776,1.10457,1.13771,0.87637,0.000260138,0.000260138,0.000260138
45,2211.93,1.2917,1.22973,0.90795,0.56712,0.69522,0.66731,0.46224,1.0884,1.13569,0.87412,0.000253258,0.000253258,0.000253258
46,2261.35,1.31126,1.231,0.89981,0.58083,0.68899,0.66681,0.45861,1.09062,1.13563,0.87364,0.000246377,0.000246377,0.000246377
47,2310.02,1.26496,1.20587,0.90318,0.61435,0.67973,0.67195,0.46803,1.08562,1.11189,0.8739,0.000239497,0.000239497,0.000239497
48,2359.64,1.24726,1.20466,0.90186,0.58572,0.7018,0.67712,0.46408,1.09047,1.11962,0.87398,0.000232616,0.000232616,0.000232616
49,2408.21,1.2378,1.20832,0.90463,0.61586,0.69348,0.68288,0.4737,1.0791,1.10533,0.87216,0.000225736,0.000225736,0.000225736
50,2457.35,1.24926,1.17865,0.90354,0.62518,0.69569,0.68198,0.47052,1.0869,1.10643,0.87329,0.000218855,0.000218855,0.000218855
51,2506.46,1.2593,1.18789,0.89726,0.62352,0.69895,0.68754,0.48105,1.06844,1.0944,0.87064,0.000211975,0.000211975,0.000211975
52,2555.39,1.26034,1.17945,0.90439,0.61897,0.71154,0.68996,0.47715,1.07716,1.08904,0.87113,0.000205095,0.000205095,0.000205095
53,2603.67,1.22671,1.15314,0.90227,0.59272,0.72047,0.69186,0.48121,1.0784,1.08478,0.87146,0.000198214,0.000198214,0.000198214
54,2653.27,1.24134,1.16091,0.89867,0.61295,0.71852,0.69482,0.48519,1.06207,1.07272,0.87015,0.000191334,0.000191334,0.000191334
55,2703.84,1.26786,1.17644,0.90022,0.60402,0.72084,0.69427,0.47839,1.07447,1.07669,0.87107,0.000184453,0.000184453,0.000184453
56,2753.19,1.22786,1.14362,0.90114,0.62166,0.71961,0.69913,0.4809,1.0721,1.06303,0.87039,0.000177573,0.000177573,0.000177573
57,2802.48,1.24802,1.14554,0.90053,0.59521,0.71537,0.69821,0.48266,1.06096,1.07707,0.87041,0.000170692,0.000170692,0.000170692
58,2852.15,1.24795,1.16085,0.8936,0.62934,0.71266,0.70636,0.49345,1.0472,1.06279,0.86791,0.000163811,0.000163811,0.000163811
59,2905.95,1.20975,1.12962,0.8997,0.62022,0.72643,0.70797,0.49362,1.05006,1.04899,0.86835,0.000156931,0.000156931,0.000156931
60,2954.52,1.2307,1.12406,0.89665,0.62244,0.73431,0.70899,0.49095,1.05814,1.04863,0.86883,0.00015005,0.00015005,0.00015005
61,3002.67,1.23339,1.13447,0.89448,0.63431,0.7328,0.71078,0.49957,1.03561,1.0371,0.86777,0.00014317,0.00014317,0.00014317
62,3051.28,1.17424,1.09595,0.89011,0.62077,0.72966,0.70914,0.49632,1.0355,1.03122,0.86753,0.00013629,0.00013629,0.00013629
63,3099.4,1.22744,1.11921,0.89488,0.65939,0.72773,0.71303,0.49901,1.04348,1.01823,0.8678,0.000129409,0.000129409,0.000129409
64,3147.83,1.24149,1.12939,0.89448,0.666,0.72415,0.71633,0.50154,1.04109,1.01784,0.86814,0.000122529,0.000122529,0.000122529
65,3196.15,1.20178,1.09832,0.89487,0.6573,0.72578,0.71948,0.50639,1.02704,1.01319,0.86671,0.000115648,0.000115648,0.000115648
66,3245.21,1.22051,1.11353,0.89141,0.65382,0.72652,0.72233,0.50803,1.02976,1.02037,0.8655,0.000108767,0.000108767,0.000108767
67,3294.58,1.235,1.13591,0.89533,0.65271,0.72793,0.71888,0.50248,1.04135,1.01849,0.86588,0.000101887,0.000101887,0.000101887
68,3342.94,1.19582,1.07789,0.8975,0.64231,0.73547,0.71704,0.50042,1.03917,1.02661,0.86671,9.50065e-05,9.50065e-05,9.50065e-05
69,3391.18,1.16511,1.06683,0.89273,0.62132,0.73989,0.71212,0.49831,1.02944,1.02749,0.8662,8.8126e-05,8.8126e-05,8.8126e-05
70,3439.87,1.22488,1.09545,0.89208,0.64346,0.73148,0.71712,0.50363,1.02641,1.01638,0.86553,8.12455e-05,8.12455e-05,8.12455e-05
71,3485.21,1.13686,1.09812,0.89207,0.62409,0.7474,0.71383,0.49776,1.03246,1.0169,0.86672,7.4365e-05,7.4365e-05,7.4365e-05
72,3530.91,1.13668,1.08623,0.88973,0.58209,0.74699,0.69541,0.47919,1.0454,1.03198,0.86788,6.74845e-05,6.74845e-05,6.74845e-05
73,3576.06,1.14309,1.10745,0.89288,0.62014,0.71424,0.69383,0.4789,1.04769,1.03201,0.86796,6.0604e-05,6.0604e-05,6.0604e-05
74,3621.29,1.13376,1.06751,0.89179,0.65038,0.7289,0.70923,0.49526,1.03062,1.00076,0.8667,5.37235e-05,5.37235e-05,5.37235e-05
75,3666.15,1.13298,1.05826,0.8866,0.64157,0.73171,0.70946,0.49763,1.02596,1.00218,0.8656,4.6843e-05,4.6843e-05,4.6843e-05
76,3711.05,1.11887,1.05693,0.88651,0.63513,0.73676,0.71145,0.49914,1.0278,1.00158,0.86506,3.99625e-05,3.99625e-05,3.99625e-05
77,3755.96,1.09759,1.04077,0.88959,0.64105,0.74132,0.71899,0.50539,1.0256,0.99643,0.86549,3.3082e-05,3.3082e-05,3.3082e-05
78,3802.19,1.12147,1.04828,0.8877,0.65478,0.73347,0.71893,0.50723,1.02604,0.9919,0.86591,2.62015e-05,2.62015e-05,2.62015e-05
79,3847.76,1.10379,1.0212,0.88254,0.66017,0.73646,0.72006,0.50814,1.02366,0.98795,0.86616,1.9321e-05,1.9321e-05,1.9321e-05
80,3892.79,1.12015,1.04657,0.88423,0.64761,0.73931,0.71965,0.50792,1.02212,0.98735,0.86505,1.24405e-05,1.24405e-05,1.24405e-05
